,name,rank,reviews,stars,review_page,cat,print
569,180 days of Social Studies for Grade 3 - Daily Workbook,#24,"1,305",4.6 out of 5 stars,https://www.amazon.com/product-reviews/B086H925H5/ref=zg_bs_digital-educational-resources_cr_sccl_24/146-4176987-7531425?pd_rd_i=B086H925H5,Digital Educational Resources,$19.99
570,[],#25,"1,305",4.6 out of 5 stars,https://www.amazon.com/product-reviews/B086H925H5/ref=zg_bs_digital-educational-resources_cr_sccl_24/146-4176987-7531425?pd_rd_i=B086H925H5,Digital Educational Resources,$2.50
571,"Carson Dellosa | The 100+ Series Chemistry Workbook | Grades 9–12, Printable",#26,510,4.4 out of 5 stars,https://www.amazon.com/product-reviews/B082VLGXYB/ref=zg_bs_digital-educational-resources_cr_sccl_26/146-4176987-7531425?pd_rd_i=B082VLGXYB,Digital Educational Resources,$9.74
572,"Spectrum | Language Arts Workbook | Grade 2, Printable",#27,"1,290",4.7 out of 5 stars,https://www.amazon.com/product-reviews/B082DNJTPY/ref=zg_bs_digital-educational-resources_cr_sccl_27/146-4176987-7531425?pd_rd_i=B082DNJTPY,Digital Educational Resources,$8.99
573,Behavior Clip Chart Camping Theme,#28,1,1.0 out of 5 stars,https://www.amazon.com/product-reviews/B087X8C973/ref=zg_bs_digital-educational-resources_cr_sccl_28/146-4176987-7531425?pd_rd_i=B087X8C973,Digital Educational Resources,$3.50
574,"Carson Dellosa | Skill Builders Reading Comprehension Workbook | Grade 6, Printable",#29,"3,496",4.6 out of 5 stars,https://www.amazon.com/product-reviews/B0829B78H2/ref=zg_bs_digital-educational-resources_cr_sccl_29/146-4176987-7531425?pd_rd_i=B0829B78H2,Digital Educational Resources,$2.24
575,"Spectrum | Reading Workbook | Grade 3, Printable",#30,"1,691",4.7 out of 5 stars,https://www.amazon.com/product-reviews/B082DN4XCQ/ref=zg_bs_digital-educational-resources_cr_sccl_30/146-4176987-7531425?pd_rd_i=B082DN4XCQ,Digital Educational Resources,$8.99
576,Apple AirTag,#1,"62,650",4.7 out of 5 stars,https://www.amazon.com/product-reviews/B0933BVK6T/ref=zg_bs_electronics_cr_sccl_1/146-4176987-7531425?pd_rd_i=B0933BVK6T,Electronics,$27.50
577,"Fire TV Stick with Alexa Voice Remote (includes TV controls), HD streaming device",#2,"256,226",4.7 out of 5 stars,https://www.amazon.com/product-reviews/B08C1W5N87/ref=zg_bs_electronics_cr_sccl_2/146-4176987-7531425?pd_rd_i=B08C1W5N87,Electronics,$39.99
578,"Fire TV Stick 4K streaming device with latest Alexa Voice Remote (includes TV controls), Dolby Vision",#3,"141,400",4.7 out of 5 stars,https://www.amazon.com/product-reviews/B08XVYZ1Y5/ref=zg_bs_electronics_cr_sccl_3/146-4176987-7531425?pd_rd_i=B08XVYZ1Y5,Electronics,$49.99
579,Apple Lightning to 3.5 mm Headphone Jack Adapter,#4,"193,488",4.7 out of 5 stars,https://www.amazon.com/product-reviews/B01LXJFMGF/ref=zg_bs_electronics_cr_sccl_4/146-4176987-7531425?pd_rd_i=B01LXJFMGF,Electronics,$7.99
580,Apple AirTag 4 Pack,#5,"26,938",4.7 out of 5 stars,https://www.amazon.com/product-reviews/B0932QJ2JZ/ref=zg_bs_electronics_cr_sccl_5/146-4176987-7531425?pd_rd_i=B0932QJ2JZ,Electronics,$99.00
581,"Echo Dot (3rd Gen, 2018 release) - Smart speaker with Alexa - Charcoal",#6,"936,447",4.7 out of 5 stars,https://www.amazon.com/product-reviews/B07FZ8S74R/ref=zg_bs_electronics_cr_sccl_6/146-4176987-7531425?pd_rd_i=B07FZ8S74R,Electronics,$29.99
582,Roku Express | HD Streaming Media Player with High Speed HDMI Cable and Simple Remote,#7,"161,160",4.7 out of 5 stars,https://www.amazon.com/product-reviews/B07WVFCVJN/ref=zg_bs_electronics_cr_sccl_7/146-4176987-7531425?pd_rd_i=B07WVFCVJN,Electronics,$24.99
